iter	Passed	Remaining
414	3484	21707
415	3494	21703
416	3501	21687
417	3508	21671
418	3518	21674
419	3527	21666
420	3535	21656
421	3545	21656
422	3554	21654
423	3562	21643
424	3571	21639
425	3578	21623
426	3583	21594
427	3591	21582
428	3600	21580
429	3609	21575
430	3617	21564
431	3626	21560
432	3636	21557
433	3643	21544
434	3652	21539
435	3661	21534
436	3671	21531
437	3679	21524
438	3685	21499
439	3692	21482
440	3701	21480
441	3708	21463
442	3717	21456
443	3727	21456
444	3736	21455
445	3743	21436
446	3751	21427
447	3759	21417
448	3767	21405
449	3775	21393
450	3782	21380
451	3790	21369
452	3798	21358
453	3807	21354
454	3815	21339
455	3822	21322
456	3830	21313
457	3838	21303
458	3847	21299
459	3855	21289
460	3864	21285
461	3869	21258
462	3878	21251
463	3883	21226
464	3891	21216
465	3900	21212
466	3907	21196
467	3917	21195
468	3926	21188
469	3934	21180
470	3945	21184
471	3953	21173
472	3960	21158
473	3967	21143
474	3975	21133
475	3984	21128
476	3993	21120
477	4001	21110
478	4010	21104
479	4018	21096
480	4026	21087
481	4033	21073
482	4043	21069
483	4052	21064
484	4058	21048
485	4066	21035
486	4076	21037
487	4084	21025
488	4090	21005
489	4098	20996
490	4106	20984
491	4115	20979
492	4124	20973
493	4132	20962
494	4142	20961
495	4149	20950
496	4156	20932
497	4164	20922
498	4173	20915
499	4181	20908
500	4189	20896
501	4198	20893
502	4207	20885
503	4214	20870
504	4221	20857
505	4227	20837
506	4235	20825
507	4242	20812
508	4249	20796
509	4256	20780
510	4265	20775
511	4272	20763
512	4281	20757
513	4291	20757
514	4299	20744
515	4307	20737
516	4315	20724
517	4322	20711
518	4329	20696
519	4336	20680
520	4345	20678
521	4355	20675
522	4364	20668
523	4373	20664
524	4381	20656
525	4391	20654
526	4399	20643
527	4406	20630
528	4414	20621
529	4423	20613
530	4432	20608
531	4440	20600
532	4482	20747
533	4508	20818
534	4519	20824
535	4535	20847
536	4544	20843
537	4552	20831
538	4563	20834
539	4570	20823
540	4579	20814
541	4586	20800
542	4595	20793
543	4605	20790
544	4614	20787
545	4622	20773
546	4630	20766
547	4638	20755
548	4648	20750
549	4656	20743
550	4665	20735
551	4673	20726
552	4682	20720
553	4690	20707
554	4698	20699
555	4706	20687
556	4715	20682
557	4724	20674
558	4730	20658
559	4739	20652
560	4748	20643
561	4755	20628
562	4763	20620
563	4770	20605
564	4778	20594
565	4786	20584
566	4794	20573
567	4803	20566
568	4811	20557
569	4821	20554
570	4830	20548
571	4836	20530
572	4846	20526
573	4854	20517
574	4862	20507
575	4870	20495
576	4878	20487
577	4887	20480
578	4896	20473
579	4905	20466
580	4913	20457
581	4921	20448
582	4929	20438
583	4938	20432
584	4947	20423
585	4956	20418
586	4965	20409
587	4972	20396
588	4979	20381
589	4986	20369
590	4996	20366
591	5004	20357
592	5013	20347
593	5021	20337
594	5028	20326
595	5036	20315
596	5045	20309
597	5053	20297
598	5062	20292
599	5069	20279
600	5078	20271
601	5087	20266
602	5097	20261
603	5104	20249
604	5111	20234
605	5120	20227
606	5127	20214
607	5135	20202
608	5144	20196
609	5152	20186
610	5160	20179
611	5170	20174
612	5179	20167
613	5186	20156
614	5195	20147
615	5204	20141
616	5212	20131
617	5219	20117
618	5227	20108
619	5235	20097
620	5242	20085
621	5251	20078
622	5257	20061
623	5266	20051
624	5274	20043
625	5283	20036
626	5291	20026
627	5300	20018
628	5308	20011
629	5316	20001
630	5325	19993
631	5334	19986
632	5342	19977
633	5350	19967
634	5359	19962
635	5367	19949
636	5374	19937
637	5384	19933
638	5391	19919
639	5400	19914
640	5410	19911
641	5419	19904
642	5425	19888
643	5435	19883
644	5441	19868
645	5448	19855
646	5457	19847
647	5465	19836
648	5473	19828
649	5482	19821
650	5490	19813
651	5499	19804
652	5508	19797
653	5517	19790
654	5523	19775
655	5532	19767
656	5542	19764
657	5550	19755
658	5560	19754
659	5570	19748
660	5578	19739
661	5587	19732
662	5593	19718
663	5603	19714
664	5611	19702
665	5619	19694
666	5629	19689
667	5636	19676
668	5645	19670
669	5652	19658
670	5660	19648
671	5668	19638
672	5678	19634
673	5686	19625
674	5695	19619
675	5704	19610
676	5712	19601
677	5721	19594
678	5729	19585
679	5737	19576
680	5744	19562
681	5752	19552
682	5762	19547
683	5770	19537
684	5778	19528
685	5786	19519
686	5796	19515
687	5804	19507
688	5813	19497
689	5822	19491
690	5830	19482
691	5838	19473
692	5847	19467
693	5854	19454
694	5862	19442
695	5870	19434
696	5879	19426
697	5887	19418
698	5895	19408
699	5903	19396
700	5912	19389
701	5919	19376
702	5926	19364
703	5933	19351
704	5942	19345
705	5950	19335
706	5958	19325
707	5965	19310
708	5973	19302
709	5979	19285
710	5988	19278
711	5996	19269
712	6005	19264
713	6013	19254
714	6043	19313
715	6083	19406
716	6091	19396
717	6112	19426
718	6120	19416
719	6129	19409
720	6136	19398
721	6145	19388
722	6152	19375
723	6161	19368
724	6168	19355
725	6177	19347
726	6186	19341
727	6195	19335
728	6202	19320
729	6210	19311
730	6219	19305
731	6227	19296
732	6237	19290
733	6244	19278
734	6254	19273
735	6261	19261
736	6269	19250
737	6278	19243
738	6287	19236
739	6296	19231
740	6305	19222
