iter	RMSE
0	0.141676142
1	0.1389236789
2	0.1368995653
3	0.1346666794
4	0.1332035269
5	0.1315384084
6	0.1302952061
7	0.1295514954
8	0.1282081728
9	0.1275455691
10	0.1265669916
11	0.1255021929
12	0.1243340561
13	0.1229723697
14	0.1223273867
15	0.1212277569
16	0.1201766865
17	0.1193915556
18	0.1192001252
19	0.1188003063
20	0.1183853183
21	0.1183339903
22	0.117783225
23	0.1175827334
24	0.1175371126
25	0.1172073122
26	0.1170683465
27	0.1163448444
28	0.1152361874
29	0.1147174331
30	0.1138600723
31	0.1135693603
32	0.1135674964
33	0.1135046597
34	0.1133697744
35	0.1133656915
36	0.1131305387
37	0.1125820213
38	0.1122367698
39	0.1121194235
40	0.1118810763
41	0.1117151949
42	0.1115246482
43	0.1113732939
44	0.1113092515
45	0.1106374243
46	0.1105819528
47	0.1104350151
48	0.1103651422
49	0.1103109532
50	0.1102446626
51	0.109886354
52	0.1098600906
53	0.1098406583
54	0.1097991513
55	0.1089892161
56	0.1088361239
57	0.1087361593
58	0.1086591154
59	0.1083332912
60	0.1077113121
61	0.1074629776
62	0.107238462
63	0.1072097164
64	0.1070214402
65	0.1070097659
66	0.1069982404
67	0.106738934
68	0.1063985667
69	0.1063985166
70	0.1057439779
71	0.1055398822
72	0.1054929883
73	0.1049462325
74	0.1048750592
75	0.1048342118
76	0.1047390476
77	0.1047284831
78	0.10471993
79	0.1046930372
80	0.1025869811
81	0.1024176239
82	0.102310932
83	0.1022224958
84	0.1021639595
85	0.1021608733
86	0.1021278278
87	0.1021271667
88	0.101707097
89	0.1016045983
90	0.101599566
91	0.1015980179
92	0.1014596329
93	0.1012517086
94	0.1011953527
95	0.1011946106
96	0.1011715849
97	0.1009734221
98	0.1009712642
99	0.1009643856
100	0.1004788953
101	0.1001668106
102	0.1001519932
103	0.1001230674
104	0.09992284109
105	0.09984938608
106	0.09948155089
107	0.09941630942
108	0.09940616754
109	0.09934607371
110	0.09932550616
111	0.09927280274
112	0.09922620137
113	0.09918347162
114	0.09915543802
115	0.09910503546
116	0.09909643692
117	0.09876606425
